artistID	name	freq	listeners
89	Lady Gaga	611	3798959
289	Britney Spears	522	3243214
288	Rihanna	484	4542147
227	The Beatles	480	3658694
300	Katy Perry	473	3721531
67	Madonna	429	3091886
333	Avril Lavigne	417	2616188
292	Christina Aguilera	407	2781128
190	Muse	400	4080161
498	Paramore	399	2468086
295	Beyoncé	397	3541905
154	Radiohead	393	4718748
65	Coldplay	369	5369132
466	Ke$ha	362	2470675
701	Shakira	319	2336614
302	P!nk	305	2480462
229	The Killers	304	4416820
306	Black Eyed Peas	304	3336151
55	Kylie Minogue	298	1946209
461	Miley Cyrus	286	2011027
72	Depeche Mode	282	2676588
377	Linkin Park	280	3967367
157	Michael Jackson	266	3533610
291	Kelly Clarkson	260	2418353
234	Nirvana	258	4257983
163	Pink Floyd	258	3068781
679	Glee Cast	249	1026407
207	Arctic Monkeys	248	3488052
344	Taylor Swift	247	2189871
298	Lily Allen	243	2164870
173	Placebo	242	2637170
257	Mariah Carey	241	2453215
230	Green Day	236	3726860
228	Kings of Leon	235	3429346
349	The Pussycat Dolls	233	2039045
159	The Cure	229	2921091
378	Evanescence	226	2363452
707	Metallica	224	2884110
220	Red Hot Chili Peppers	222	4608144
486	30 Seconds to Mars	216	2352835
533	Oasis	210	3581726
299	Jennifer Lopez	209	2090529
959	Queen	208	4002970
475	Eminem	204	4504111
599	David Bowie	198	3342901
1412	Led Zeppelin	196	2919149
903	Amy Winehouse	195	2504742
511	U2	185	3478520
424	The Strokes	184	3252600
325	Ashley Tisdale	182	680027
198	System of a Down	181	3488745
706	AC/DC	180	2680587
917	Iron Maiden	177	2097872
1090	Franz Ferdinand	173	3195704
1098	Björk	172	2186384
318	Hilary Duff	169	956227
982	Foo Fighters	164	3996434
429	The Smiths	162	2287055
310	Nelly Furtado	161	2251241
1249	Guns N' Roses	161	3231917
294	Leona Lewis	160	1665470
689	Florence + the Machine	159	2402863
209	My Chemical Romance	157	2353599
328	David Guetta	155	2770533
418	Sigur Rós	153	2044470
544	Adam Lambert	153	757281
464	3OH!3	152	942375
56	Daft Punk	151	3771290
412	blink-182	150	2966537
301	Alicia Keys	148	2316608
525	Gwen Stefani	145	2152292
686	Selena Gomez & the Scene	143	980856
1400	MGMT	143	2784641
441	Joy Division	141	1961711
1104	Rammstein	140	1799133
329	Justin Timberlake	140	2812130
538	Maroon 5	140	3495764
868	The Doors	139	3179057
233	Nine Inch Nails	138	2176672
1246	Panic! At the Disco	135	2182753
217	Death Cab for Cutie	134	2828172
331	Kanye West	134	4375723
7	Marilyn Manson	133	2229885
316	Alanis Morissette	131	1841498
735	The Rolling Stones	131	3786691
540	Fall Out Boy	130	2714799
1048	The Kooks	130	2636533
182	Keane	129	2416916
425	Yeah Yeah Yeahs	128	2488534
681	Demi Lovato	128	1281340
293	Ashlee Simpson	128	857790
199	Arcade Fire	128	2554902
352	Cheryl Cole	128	628976
1369	Black Sabbath	126	2434522
1934	Adele	126	2845761
680	The Veronicas	126	849291
523	Lindsay Lohan	125	774632
225	Interpol	125	2258232
88	Gorillaz	124	3566662
436	The Smashing Pumpkins	124	2805290
614	Pearl Jam	124	2701969
704	The Pretty Reckless	123	738922
161	Enrique Iglesias	121	1544997
528	Pixie Lott	118	840475
1672	Avenged Sevenfold	118	1695026
1375	Snow Patrol	115	2975744
226	Queens of the Stone Age	115	2464812
203	Blur	114	2863197
966	Nickelback	112	2826772
1044	Slipknot	112	2343331
238	Massive Attack	111	2571402
51	Duran Duran	111	1588349
757	Crystal Castles	110	1519214
212	Bob Dylan	108	2654676
972	t.A.T.u.	108	922014
81	Portishead	107	2089027
709	The White Stripes	107	2946302
59	New Order	107	1803989
324	Cobra Starship	107	947712
314	Ciara	106	1667711
543	Nicole Scherzinger	105	981822
907	Timbaland	104	1891024
918	Megadeth	104	1408308
1513	Ramones	104	1816691
930	Nightwish	103	1357634
458	Justin Bieber	100	1618991
518	Within Temptation	98	1039891
187	a-ha	97	1585155
517	Korn	96	2543975
320	Fergie	96	1814172
715	R.E.M.	96	2877706
1244	Elvis Presley	95	2382849
1116	Incubus	95	2591012
455	Backstreet Boys	95	1405174
439	Los Hermanos	95	439677
1001	Pet Shop Boys	93	1215296
3057	Regina Spektor	92	1833040
562	The Who	92	2757284
857	The Clash	92	2329708
536	Good Charlotte	91	1793363
468	Usher	91	2641502
1243	Mika	91	1634376
2346	Aerosmith	91	2895763
285	Janet Jackson	91	1278481
526	La Roux	89	1325870
290	Jordin Sparks	89	899270
969	Kasabian	89	2431064
691	Owl City	89	1397201
488	Three Days Grace	89	2248673
1239	Weezer	88	3038407
1037	Nicki Minaj	87	2039893
542	Pitty	87	289234
481	Simple Plan	86	1659694
1358	Judas Priest	86	1351917
70	Moby	85	2657551
2521	Robyn	85	1240550
1406	The Offspring	85	2891674
210	Bloc Party	85	2507126
206	Beck	84	2910470
951	Bon Jovi	84	2344176
1613	Jay-Z	83	3163390
172	Garbage	83	1581026
913	Destiny's Child	83	1796032
1186	Sum 41	83	2232278
2343	KISS	82	1610345
1043	Boys Like Girls	82	1004710
703	The xx	82	1915723
58	Goldfrapp	82	1686520
500	Bullet for My Valentine	82	1791392
191	OneRepublic	82	2269505
321	Jonas Brothers	82	606252
265	Céline Dion	82	1370882
3200	Cansei de Ser Sexy	82	866899
296	Sugababes	81	1102767
311	Natasha Bedingfield	81	1400798
808	Rise Against	81	2025012
386	Cascada	81	1058607
841	Slayer	81	1364330
854	Alice in Chains	80	1929785
2083	M.I.A.	80	1815526
97	Duffy	80	1386257
546	The Ting Tings	80	1458009
430	Kate Nash	80	1223919
1131	Tool	80	1575175
618	Belle and Sebastian	79	1675664
327	Chris Brown	79	2617258
683	John Mayer	79	2441850
1390	Vampire Weekend	78	2169378
497	Papa Roach	78	2462941
1377	The Fray	78	2214025
687	All Time Low	77	1221528
432	Klaxons	77	1398096
859	Pixies	77	2309795
155	Robbie Williams	77	1855604
816	A Day to Remember	77	1205731
548	Ellie Goulding	77	1909933
176	Scorpions	76	1644985
1372	Deep Purple	76	2111078
1459	Carrie Underwood	76	1015846
1099	The Prodigy	76	2217484
920	Dream Theater	76	1012085
908	Vanessa Hudgens	76	388097
317	Keri Hilson	75	1187357
716	Kaiser Chiefs	75	2267257
615	Elliott Smith	75	1662926
403	The All-American Rejects	75	1977794
53	Air	75	2151089
196	Beirut	75	1362467
718	Johnny Cash	74	2786849
646	RBD	73	203270
1464	ABBA	73	1648000
537	The Used	73	1238901
504	HIM	73	1042145
366	Jack Johnson	73	2539525
843	Pantera	72	1559702
779	Bring Me The Horizon	72	1065836
1042	Bruno Mars	72	1829566
1360	Motörhead	71	1535491
152	Porcupine Tree	71	788746
64	Röyksopp	71	1990508
499	Flyleaf	70	1002644
166	The Cranberries	70	2265561
1379	Hurts	70	716317
1032	Jessie J	70	1431829
1639	Jimi Hendrix	70	2717905
1470	Lifehouse	69	1577601
1047	McFly	69	526868
1854	Breaking Benjamin	69	1979522
1106	Phoenix	69	2023472
748	Boards of Canada	69	1313311
1180	Escape The Fate	69	860937
342	Colbie Caillat	69	1411740
531	Taio Cruz	69	1511473
1109	Yann Tiersen	69	1359680
221	Travis	69	1673527
1974	Rage Against the Machine	68	2834724
532	Little Boots	68	690758
1034	Kerli	68	390185
188	Opeth	68	802486
863	The Velvet Underground	67	1967212
512	Deftones	67	1728364
802	Anahí	67	127483
906	Girls Aloud	67	720831
503	In Flames	67	1181126
535	Sophie Ellis-Bextor	66	708513
1075	IAMX	66	555140
724	Ozzy Osbourne	66	1774850
1415	Creedence Clearwater Revival	65	2353878
603	Aphex Twin	65	1514268
790	Belinda	65	298349
465	Jessica Simpson	64	648989
733	John Lennon	64	2173100
961	Tori Amos	63	1282178
1045	Fresno	63	170525
2094	BoA	63	288820
690	Marina & the Diamonds	62	1222678
332	Kelly Rowland	62	1141679
1118	A Perfect Circle	62	1591193
1455	B.o.B	61	1558765
2277	Feist	61	1963358
184	James Blunt	61	2035622
714	Legião Urbana	61	274317
323	The Saturdays	60	515064
326	JoJo	60	849337
978	Disturbed	60	2372485
355	Jason Mraz	60	2261223
2531	Morrissey	60	1217076
2523	Spice Girls	60	1227798
622	Sufjan Stevens	59	1941631
222	Modest Mouse	59	2386379
1504	Sonic Youth	59	1610045
889	Cyndi Lauper	58	1476614
534	No Doubt	58	2002859
1122	The Police	58	2263476
428	The Libertines	58	1324130
1713	Dave Gahan	58	267483
423	Bat for Lashes	57	1169950
1424	Cat Power	57	1634655
2020	Leighton Meester	57	346784
71	Dido	57	1911345
632	Explosions in the Sky	57	1191713
330	T.I.	57	2416461
484	Ne-Yo	56	1863379
1062	Ladytron	56	990859
726	Apocalyptica	56	1217372
697	Sia	56	2110653
851	Manic Street Preachers	56	1060372
1242	The Beach Boys	55	2420747
472	3 Doors Down	55	2519689
416	The National	55	1705968
440	Animal Collective	55	1293114
340	Cher	55	1103002
2347	Van Halen	54	1780501
1632	Metric	54	1502205
1772	Norah Jones	54	2057738
554	The Kinks	54	2093030
456	Jesse McCartney	54	602332
728	Eric Clapton	53	2409049
923	Children of Bodom	53	945557
1398	Justice	52	1685550
204	Damien Rice	52	1753992
489	Limp Bizkit	52	2298501
898	Tegan and Sara	52	1315457
2014	Lacuna Coil	52	792306
1414	Paul McCartney	52	1655393
193	Tears for Fears	52	1464873
1119	Faith No More	52	1239313
1512	The Last Shadow Puppets	51	911595
797	Emily Osment	51	291715
732	Alice Cooper	51	1366748
964	The Mars Volta	51	1048599
1803	Mötley Crüe	51	1039333
304	David Archuleta	51	323345
251	Whitney Houston	51	1597099
1376	White Lies	51	1155807
1515	The Fratellis	51	1530541
1151	Editors	50	1656791
197	Tom Waits	50	1445244
604	Kings of Convenience	50	1348592
793	Hannah Montana	50	395334
1206	Misfits	50	878890
250	Bob Marley	50	2003818
1014	Erasure	50	804195
180	Roxette	49	1145254
1447	Lady Antebellum	49	977137
830	Atreyu	49	1025275
162	God Is an Astronaut	49	679191
3411	M83	49	1894312
99	INXS	49	1152490
1378	Jimmy Eat World	48	2079274
1195	Alexisonfire	48	636963
1091	AFI	48	1305757
506	Anathema	48	555599
389	Enya	48	1310311
167	Scissor Sisters	47	1229612
360	Shania Twain	46	944340
1873	Audioslave	46	2210955
1179	Billy Talent	46	1385597
734	Bruce Springsteen	46	2160057
2176	Michael Bublé	46	1816508
1418	Mogwai	46	1302857
1866	Yellowcard	46	1484569
815	Killswitch Engage	46	1207202
1684	Aly & AJ	46	448554
383	Bad Religion	46	1121505
1145	Stone Sour	46	1526726
957	Blind Guardian	46	639211
493	Lostprophets	46	1358303
1073	Kraftwerk	45	937648
527	Lil' Wayne	45	3226914
371	Skillet	45	1213852
985	Blondie	45	1689595
1705	Hans Zimmer	45	1412627
1155	Hot Chip	45	1458058
1097	Patrick Wolf	45	640614
485	Kelis	45	1275285
2080	NX Zero	45	128043
858	PJ Harvey	45	1452264
1110	Rush	44	1113031
986	Frank Sinatra	44	2351217
450	She Wants Revenge	44	578653
2605	Bonobo	44	1486305
547	Kid Cudi	44	2476623
1456	Far East Movement	43	970675
1983	The Knife	43	1327877
524	Jeffree Star	43	222571
77	George Michael	43	1483899
1274	Sepultura	43	883777
1580	Paris Hilton	43	545206
1083	Siouxsie and the Banshees	43	841657
997	The Human League	43	906406
2850	Underoath	43	732019
1541	The Devil Wears Prada	43	596490
308	Kat DeLuna	43	496792
195	Bright Eyes	43	1835525
1673	Tokio Hotel	43	436383
237	Thom Yorke	42	1002674
915	Alexandra Burke	42	501908
1410	Pendulum	42	1343785
1426	The Jimi Hendrix Experience	42	1592344
1072	Martin L. Gore	42	189711
471	Metro Station	42	701640
813	As I Lay Dying	42	851605
