artistID	name	listeners
14846	!!!	565021
10635	!DISTAIN	8593
8209	!deladap	64955
759	#####	57639
10004	#2 Orchestra	506
16111	$lick	4
16119	$lick feat. Six-Fo	2
11327	(1962-1966)	15
17169	(Pre) Kingdom	249
9493	(We Are) Performance	19060
14692	(hed) Planet Earth	273393
14872	(sic)monic	7255
459	*NSYNC	944739
3398	+44	635865
8302	+\-	5300
17957	-123 min.	7750
2103	-OZ-	30092
16004	-t de sangre	9160
17386	...And The Earth Swarmed With Them	3215
5423	...And You Will Know Us by the Trail of Dead	526551
9419	.38 Special	333072
6845	.crrust	9618
9474	06 Children Of The Cross	1
17355	08001	25351
5951	1-800-ZOMBIE	15346
7775	10 Years	579504
10503	10-20 БЕЗ ВЫХОДНЫХ	2066
4246	100 Bitches	31
5873	1000names	30870
5964	100DEADRABBITS!!!	22257
11089	100blumen	8074
13089	100dBs	1946
3934	10cc	716928
8632	11.43	279
6005	110	41244
11065	112	505941
11853	1125	10566
9497	12 Rounds	15171
3928	12 Stones	718775
14642	120 Days	43145
731	1200 Micrograms	165989
8396	12012	34600
8958	127 Band	0
7311	129- FLY PROJECT & TOM BOXER & ANCA PARGHEL	2991
15613	12th Planet	97997
10259	13	115143
2755	1349	128639
14378	13th Floor Elevators	351479
18577	14 Bis	30122
2726	14 Year Old Girls	10083
764	16 Horsepower	207453
12975	16Volt	57240
12850	16bit	149087
17022	18th Dye	7953
1010	19	42911
8568	1910 Fruitgum Company	42399
18000	1974 AD	1119
6464	1990s	97610
12489	1994!	12827
17289	1997	33011
18003	1SaGain	1806
5967	2 0' Clock Girlfriend	21545
3972	2 Brothers on the 4th Floor	127523
4720	2 Many DJ's	110105
14456	2 Skinnee J's	22526
5582	2 Times Terror	16178
4043	2 Unlimited	353267
15138	2 Гига Любви	1095
12745	2002	164681
11014	2009 Broadway Revival Cast	241
1495	2009 Names in Vain	1
7816	21 hertz	44528
11388	213	152793
9890	25 LAT LISTY PRZEBOJÓW TRÓJKI	845
17961	2562	78140
11696	2AM	60794
10421	2AM Club	65098
7602	2Face Idibia	25189
2148	2H Company	47153
400	2NE1	229799
369	2PM	144996
278	2Pac	2182181
15291	2gether	39546
2258	2nd II None	35334
6534	2ois	21204
16250	2up	1754
6569	3	135985
472	3 Doors Down	2519689
6287	3 Inches of Blood	159974
16802	3 Segundos Antes da Queda	1645
14364	3 dueños	1411
10427	3 na Massa	20964
12964	3-11 Porter	63752
486	30 Seconds to Mars	2352835
3732	311	1015081
11093	32Crash	21812
9279	33Miles	27821
818	36 Crazyfists	414867
12698	38th Parallel	17566
16507	3D	10966
15997	3Moonboys	5599
464	3OH!3	942375
14320	3Tops	65
402	3mmey	1
6324	3rd Bass	77024
5780	4 Non Blondes	658021
1330	4 Strings	320884
3245	40 Below Summer	214057
11380	40 Glocc	27335
18706	40 Winks	79716
10482	40 УКВ	616
10487	40 градусов	902
3435	45 Grave	64231
12775	4LYN	93710
14328	4TOPS	0
12521	4Taste	2721
14319	4Tops & KAT-TUN	0
18100	4chan	1361
1822	4hero	298024
2091	4minute	141371
4891	4ре Апреля	12215
1789	5'nizza	203800
2179	50 Cent	2637382
16118	50 Cent Ft. Justin Ft. Timbaland	2
6628	50 Cent, Eminem, Ca$his & Lloyd Banks	14392
9814	50 Lions	30600
2199	50 kreon 50	221
14375	500won Project	59422
17203	501	100393
11086	5F-X	6482
801	5ive	49611
11576	5ivesta Family	14966
12421	6.Cadde	6340
3669	60 minut na godzinę	59
16001	6000000000 себя	18
2717	64revolt	44745
755	65daysofstatic	562194
5133	69 enfermos	661
10962	7 Days Away	19320
8033	7 Skies	19232
6532	7 Year Bitch	95751
6240	7000$	43513
16923	78violet	11254
4209	7Seconds	139395
15670	7and5	26809
16349	7he Myriads	4148
7940	7th Floor	562
7364	7Б	68365
4226	7раса	85328
14199	8 Bit Instrumental	11830
14684	8 Bit Weapon	61443
9705	8 Femmes	1515
1827	808 State	266139
15075	80kidz	54011
5092	883	51014
8185	8Ball & MJG	216578
2725	8[bit]chyfruit	68
5184	8mm	139510
2827	8th	9599
16191	8u	127
9622	8°6 Crew	8255
16723	98 Degrees	154001
15164	999	101184
12812	9GOATS BLACK OUT	24387
259	9th Wonder	153124
18066	9th Wonder & Buckshot	49019
3362	:(	35976
19	:wumpscut:	199967
6923	A	190695
4407	A Band Featuring Instruments	140
6018	A Black Rose Burial	27620
14449	A Bullet for Pretty Boy	93565
15752	A Camp	130526
6653	A Challenge of Honour	23435
4741	A Change of Pace	171077
2434	A Cursive Memory	41945
816	A Day to Remember	1205731
15339	A Dos Velas	1983
362	A Fine Frenzy	731182
2936	A Flock of Seagulls	616215
3539	A Forest Mighty Black	169297
17067	A Hawk and a Hacksaw	130290
15466	A Hero A Fake	9995
