artistID	name	tag1	tag2	tag3	tag4	tag5	tag6	tag7	tag8	tag9	tag10
89	lady gaga	pop	dance	electronic	female vocalists	female vocalist	lady gaga	electropop	seen live	american	gaga
289	britney spears	pop	dance	female vocalists	britney spears	legend	american	seen live	sexy	female	90s
288	rihanna	pop	rnb	female vocalists	dance	hip-hop	rihanna	r&b	seen live	reggae	hip hop
227	the beatles	classic rock	rock	british	60s	pop	psychedelic	the beatles	oldies	psychedelic rock	beatles
300	katy perry	pop	female vocalists	pop rock	indie	rock	katy perry	american	dance	seen live	female vocalist
67	madonna	pop	dance	female vocalists	80s	electronic	madonna	seen live	90s	american	female
333	avril lavigne	pop	pop rock	rock	female vocalists	canadian	punk	pop punk	alternative	avril lavigne	seen live
292	christina aguilera	pop	female vocalists	soul	rnb	dance	christina aguilera	female	american	legend	rock
190	muse	alternative rock	rock	alternative	progressive rock	seen live	indie	british	indie rock	britpop	muse
498	paramore	rock	pop punk	alternative	female vocalists	emo	seen live	alternative rock	punk	paramore	pop rock
295	beyoncé	rnb	pop	female vocalists	soul	hip-hop	beyonce	dance	r&b	american	sexy
154	radiohead	alternative	alternative rock	rock	indie	electronic	seen live	british	britpop	indie rock	experimental
65	coldplay	rock	alternative	britpop	alternative rock	indie	british	seen live	coldplay	pop	indie rock
466	ke$ha	pop	dance	electropop	female vocalists	electronic	american	kesha	whorecore	seen live	female vocalist
701	shakira	pop	latin	female vocalists	spanish	rock	shakira	dance	singer-songwriter	sexy	colombia
302	p!nk	pop	pop rock	female vocalists	rock	female	seen live	pink	american	p!nk	dance
229	the killers	indie	rock	indie rock	alternative	alternative rock	seen live	the killers	pop	american	britpop
306	black eyed peas	hip-hop	pop	rnb	rap	hip hop	dance	seen live	black eyed peas	funk	american
55	kylie minogue	pop	dance	female vocalists	australian	electronic	disco	80s	kylie minogue	seen live	female
461	miley cyrus	pop	female vocalists	disney	dance	guilty pleasure	miley cyrus	better than selena gomez	urban	pop rock	better than demi lovato
72	depeche mode	electronic	new wave	80s	synth pop	synthpop	seen live	alternative	rock	british	electronica
377	linkin park	rock	nu metal	alternative rock	alternative	metal	seen live	rapcore	linkin park	nu-metal	alternative metal
157	michael jackson	pop	80s	dance	soul	funk	king of pop	michael jackson	rock	disco	legend
291	kelly clarkson	pop	female vocalists	pop rock	rock	kelly clarkson	american idol	female	alternative	american	seen live
234	nirvana	grunge	rock	alternative	alternative rock	90s	punk	nirvana	indie	american	seattle
163	pink floyd	progressive rock	classic rock	psychedelic rock	rock	psychedelic	british	progressive	pink floyd	70s	alternative
679	glee cast	musical	soundtrack	glee	cover	glee cast	pop	american	female vocalists	male vocalists	rock
207	arctic monkeys	indie rock	indie	british	rock	alternative	seen live	alternative rock	britpop	arctic monkeys	garage rock
344	taylor swift	country	pop	female vocalists	singer-songwriter	acoustic	taylor swift	country pop	american	seen live	female
298	lily allen	pop	female vocalists	british	britpop	singer-songwriter	seen live	ska	indie	lily allen	alternative
173	placebo	alternative rock	alternative	rock	seen live	indie	britpop	british	indie rock	placebo	glam rock
257	mariah carey	pop	rnb	female vocalists	soul	mariah carey	hip-hop	90s	female	diva	american
230	green day	punk rock	rock	punk	alternative	pop punk	seen live	alternative rock	green day	american	pop
228	kings of leon	rock	indie	indie rock	alternative	seen live	southern rock	alternative rock	american	garage rock	kings of leon
349	the pussycat dolls	pop	rnb	dance	female vocalists	hip-hop	the pussycat dolls	girl groups	american	sexy	female
159	the cure	post-punk	new wave	alternative	80s	rock	seen live	alternative rock	goth	british	indie
378	evanescence	rock	gothic rock	female vocalists	gothic	alternative	alternative rock	gothic metal	metal	evanescence	seen live
707	metallica	thrash metal	metal	heavy metal	hard rock	rock	seen live	metallica	speed metal	classic rock	american
220	red hot chili peppers	rock	alternative rock	alternative	funk rock	funk	seen live	red hot chili peppers	punk	american	indie
486	30 seconds to mars	alternative rock	rock	alternative	emo	indie	seen live	30 seconds to mars	progressive rock	american	metal
533	oasis	britpop	rock	british	alternative	indie	seen live	alternative rock	indie rock	90s	oasis
299	jennifer lopez	pop	latin	rnb	female vocalists	dance	jennifer lopez	hip-hop	american	female	sexy
959	queen	classic rock	rock	80s	hard rock	glam rock	british	queen	70s	pop	progressive rock
475	eminem	rap	hip-hop	eminem	hip hop	pop	american	detroit	seen live	hiphop	gangsta rap
599	david bowie	rock	glam rock	classic rock	80s	alternative	british	pop	70s	glam	seen live
1412	led zeppelin	classic rock	rock	hard rock	70s	progressive rock	blues rock	british	blues	led zeppelin	heavy metal
903	amy winehouse	soul	jazz	female vocalists	british	singer-songwriter	pop	funk	amy winehouse	neo-soul	blues
511	u2	rock	classic rock	irish	pop	alternative	seen live	alternative rock	u2	80s	90s
424	the strokes	indie rock	rock	indie	alternative	alternative rock	seen live	garage rock	the strokes	american	new york
325	ashley tisdale	pop	female vocalists	dance	disney	ashley tisdale	pop rock	american	rock	electronic	rnb
198	system of a down	metal	alternative metal	rock	nu metal	alternative	hard rock	seen live	alternative rock	system of a down	nu-metal
706	ac/dc	hard rock	classic rock	rock	heavy metal	metal	australian	seen live	80s	70s	acdc
917	iron maiden	heavy metal	metal	nwobhm	seen live	hard rock	rock	british	power metal	classic rock	iron maiden
1090	franz ferdinand	indie	indie rock	rock	alternative	seen live	britpop	british	alternative rock	scottish	franz ferdinand
1098	björk	electronic	alternative	experimental	female vocalists	icelandic	trip-hop	seen live	electronica	indie	singer-songwriter
318	hilary duff	pop	female vocalists	dance	hilary duff	rock	pop rock	american	teen pop	disney	female vocalist
982	foo fighters	rock	alternative rock	grunge	alternative	seen live	hard rock	post-grunge	foo fighters	indie	american
429	the smiths	indie	80s	post-punk	new wave	alternative	rock	british	indie rock	alternative rock	indie pop
310	nelly furtado	pop	female vocalists	canadian	folk	singer-songwriter	rnb	nelly furtado	alternative	seen live	dance
1249	guns n' roses	hard rock	rock	classic rock	80s	metal	heavy metal	seen live	guns n roses	american	hair metal
294	leona lewis	pop	female vocalists	soul	rnb	british	leona lewis	singer-songwriter	female vocalist	ballad	r&b
689	florence + the machine	indie	female vocalists	alternative	british	indie pop	seen live	pop	indie rock	singer-songwriter	folk
209	my chemical romance	rock	emo	alternative	punk rock	punk	seen live	alternative rock	screamo	my chemical romance	pop punk
328	david guetta	house	dance	electronic	club	techno	french	seen live	david guetta	electronica	electro
418	sigur rós	post-rock	ambient	icelandic	alternative	indie	seen live	experimental	post rock	electronic	shoegaze
544	adam lambert	pop	rock	glam	american idol	love	pop rock	male vocalists	glam rock	american	adam lambert
464	3oh!3	electronic	hip-hop	electronica	crunk	rap	seen live	pop	powerpop	electropop	crunkcore
56	daft punk	electronic	dance	house	electronica	techno	french	electro	seen live	alternative	daft punk
412	blink-182	punk rock	pop punk	punk	rock	alternative	seen live	pop-punk	alternative rock	emo	american
301	alicia keys	soul	rnb	female vocalists	pop	singer-songwriter	alicia keys	r&b	piano	hip-hop	american
