incorrect tag	tag
abstract hip-hop	hip-hop
alternative rap	alternative hip-hop
avantgarde	avant-garde
brazilian rock	rock
chanson francaise	chanson
classic	classical
classic blues	blues
classic country	country
club	edm
composers	composer
dirty south	southern rap
dnb	drum and bass
downtempo	trip-hop
drum n bass	drum and bass
east coast	east coast rap
electro	electronic
electronica	electronic
emocore	emo
epic metal	metal
finnish metal	metal
french pop	pop
goa	goa trance
goth	gothic
goth rock	gothic rock
grind	grindcore
hair metal	glam metal
harsh ebm	aggrotech
hip hop	hip-hop
hiphop	hip-hop
incorrect tag	correct tag
instrumental hip-hop	instrumental
italian pop	pop
japanese rock	rock
jazz vocal	jazz
jazz vocal	jazz
jpop	j-pop
jrock	j-rock
kpop	k-pop
melodic black metal	symphonic black metal
melodic metal	metal
melodic punk	melodic hardcore
modern country	contemporary country
modern metal	metal
neo-soul	neo soul
norwegian black metal	black metal
nu-metal	nu metal
old school black metal	black metal
old school death metal	death metal
old school thrash metal	thrash metal
ost	soundtrack
polish rock	rock
pop-punk	pop punk
pop-rock	pop rock
post hardcore	post-hardcore
post punk	post-punk
post rock	post-rock
powerpop	power pop
progressive death metal	technical death metal
psychill	psybient
punk rock	punk
r and b	rnb
r&b	rnb
rhythm and blues	rnb
rock and roll	rock n roll
rock brasileiro	rock
rock en espanol	rock
rock en español	rock
russian hip-hop	hip-hop
russian rap	rap
russian rock	rock
russian rock	rock
score	soundtrack
ska punk	ska-punk
sludge	sludge metal
soundtracks	soundtrack
stoner metal	stoner
stoner rock	stoner
swedish metal	metal
synthpop	synth pop
trip hop	trip-hop
twee	twee pop
underground hip hop	underground hip-hop
underground rap	underground hip-hop
vocal jazz	jazz
west coast	west coast rap
world music	world
